n_stations,m,CWmin,data_rate_Mbps,payload_bytes,throughput
50,5,32,9.0,1000,577474771801.0203
5,3,128,9.0,1000,746905623576.0161
10,3,128,9.0,1000,761486620037.3204
15,3,128,9.0,1000,754268848606.6910
20,3,128,9.0,1000,743145607621.9269
25,3,128,9.0,1000,731486427229.5369
30,3,128,9.0,1000,720178437775.9958
35,3,128,9.0,1000,709459060062.7278
40,3,128,9.0,1000,699362711948.1588
45,3,128,9.0,1000,689857759494.2913
50,3,128,9.0,1000,680892766068.7937
5,3,32,9.0,2000,822541765408.5771
10,3,32,9.0,2000,764167635388.0387
15,3,32,9.0,2000,721775225894.9561
20,3,32,9.0,2000,688268352039.5973
25,3,32,9.0,2000,660244811650.2733
30,3,32,9.0,2000,635945630789.1447
35,3,32,9.0,2000,614353126768.4442
40,3,32,9.0,2000,594825442860.1118
45,3,32,9.0,2000,576931574047.7654
50,3,32,9.0,2000,560367348208.8383
5,5,32,9.0,2000,822997700544.3632
10,5,32,9.0,2000,768994101670.8484
15,5,32,9.0,2000,733461111880.8099
20,5,32,9.0,2000,707371080990.9667
25,5,32,9.0,2000,686689485497.9658
30,5,32,9.0,2000,669473127848.0804
35,5,32,9.0,2000,654661221290.7101
40,5,32,9.0,2000,641615979432.0099
45,5,32,9.0,2000,629925120859.5311
50,5,32,9.0,2000,619306961051.0652
5,3,128,9.0,2000,844648968111.5444
10,3,128,9.0,2000,841703936455.6262
15,3,128,9.0,2000,826747548494.5361
20,3,128,9.0,2000,810865066489.7979
25,3,128,9.0,2000,795806254402.6112
30,3,128,9.0,2000,781859736543.0100
35,3,128,9.0,2000,768983570405.0396
40,3,128,9.0,2000,757061191589.3546
45,3,128,9.0,2000,745970844311.4777
50,3,128,9.0,2000,735603158403.3300
5,3,32,9.0,4000,860740400930.5458
10,3,32,9.0,4000,796154325299.9126
15,3,32,9.0,4000,750534977828.8210
20,3,32,9.0,4000,714818450599.5201
25,3,32,9.0,4000,685099666005.6666
30,3,32,9.0,4000,659416896525.3134
35,3,32,9.0,4000,636650612653.7007
40,3,32,9.0,4000,616100499835.8035
45,3,32,9.0,4000,597298879046.4167
50,3,32,9.0,4000,579917018644.1251
5,5,32,9.0,4000,861277375620.0403
10,5,32,9.0,4000,801420028656.3160
15,5,32,9.0,4000,763080925355.4823
20,5,32,9.0,4000,735179263426.7864
25,5,32,9.0,4000,713165453152.9220
30,5,32,9.0,4000,694895831532.5778
35,5,32,9.0,4000,679212232775.6165
40,5,32,9.0,4000,665422621038.8975
45,5,32,9.0,4000,653081525745.6631
50,5,32,9.0,4000,641885527255.0273
5,3,128,9.0,4000,902840115545.4965
10,3,128,9.0,4000,887558795402.4955
15,3,128,9.0,4000,867546300644.7667
20,3,128,9.0,4000,848663880871.9999
25,3,128,9.0,4000,831509656543.3916
30,3,128,9.0,4000,815962008449.7924
35,3,128,9.0,4000,801792091522.6145
40,3,128,9.0,4000,788784146298.6278
45,3,128,9.0,4000,776758047762.0702
50,3,128,9.0,4000,765567343906.6528
5,3,32,12.0,1000,976700564039.8810
10,3,32,12.0,1000,918056774693.7102
15,3,32,12.0,1000,871422523474.2098
20,3,32,12.0,1000,833493311902.7139
25,3,32,12.0,1000,801297998170.6090
30,3,32,12.0,1000,773117942674.0105
35,3,32,12.0,1000,747909289789.1348
40,3,32,12.0,1000,724995147926.0148
45,3,32,12.0,1000,703912707402.5149
50,3,32,12.0,1000,684331110391.8750
5,5,32,12.0,1000,977055134179.4716
10,5,32,12.0,1000,923134473201.1139
15,5,32,12.0,1000,884363907970.8617
20,5,32,12.0,1000,855114708327.7646
25,5,32,12.0,1000,831605098090.5283
30,5,32,12.0,1000,811862403711.4174
35,5,32,12.0,1000,794771415998.8757
40,5,32,12.0,1000,779647968950.6947
45,5,32,12.0,1000,766043838299.5277
50,5,32,12.0,1000,753649802304.5193
5,3,128,12.0,1000,946501888673.5822
10,3,128,12.0,1000,978451503931.5244
15,3,128,12.0,1000,974049184494.3564
20,3,128,12.0,1000,962194119702.6099
25,3,128,12.0,1000,948632409747.1495
30,3,128,12.0,1000,935007198625.8154
35,3,128,12.0,1000,921844938025.1908
40,3,128,12.0,1000,909301580716.6426
45,3,128,12.0,1000,897398577282.2419
50,3,128,12.0,1000,886106955256.7644
5,3,32,12.0,2000,1077960507144.4658
10,3,32,12.0,2000,1003748927244.0908
15,3,32,12.0,2000,948884807926.8375
20,3,32,12.0,2000,905276828811.1721
25,3,32,12.0,2000,868702372439.1045
30,3,32,12.0,2000,836933856275.3831
35,3,32,12.0,2000,808670554882.5576
40,3,32,12.0,2000,783087675880.9781
45,3,32,12.0,2000,759629412955.7609
50,3,32,12.0,2000,737902521500.6672
5,5,32,12.0,2000,1078514690144.9789
10,5,32,12.0,2000,1009940400718.9783
15,5,32,12.0,2000,964027729653.0308
20,5,32,12.0,2000,930136211363.8528
25,5,32,12.0,2000,903198264111.1720
30,5,32,12.0,2000,880736577456.7120
35,5,32,12.0,2000,861389655578.3351
40,5,32,12.0,2000,844335694083.8577
45,5,32,12.0,2000,829042065732.2787
50,5,32,12.0,2000,815144172010.8507
5,3,128,12.0,2000,1092548579153.5520
10,3,128,12.0,2000,1097935412061.2875
15,3,128,12.0,2000,1081605597335.8934
20,3,128,12.0,2000,1062434756187.5680
25,3,128,12.0,2000,1043676962585.0670
30,3,128,12.0,2000,1026041705697.8892
35,3,128,12.0,2000,1009617786370.0619
40,3,128,12.0,2000,994324603394.7794
45,3,128,12.0,2000,980042655370.6357
50,3,128,12.0,2000,966652601074.8595
5,3,32,12.0,4000,1138505747885.3472
10,3,32,12.0,4000,1054388766755.4884
15,3,32,12.0,4000,994439917573.6833
20,3,32,12.0,4000,947368329504.3358
25,3,32,12.0,4000,908143566871.3499
30,3,32,12.0,4000,874214946623.2123
35,3,32,12.0,4000,844120344280.7123
40,3,32,12.0,4000,816942708257.6863
45,3,32,12.0,4000,792068536127.4308
50,3,32,12.0,4000,769066044103.4215
5,5,32,12.0,4000,1139191028007.7969
10,5,32,12.0,4000,1061277784989.2827
15,5,32,12.0,4000,1010937596222.2515
20,5,32,12.0,4000,974201292461.9396
25,5,32,12.0,4000,945176678010.5016
30,5,32,12.0,4000,921067740020.9005
35,5,32,12.0,4000,900358843188.3915
40,5,32,12.0,4000,882142571359.1449
45,5,32,12.0,4000,865834037837.3563
50,5,32,12.0,4000,851034479367.0791
5,3,128,12.0,4000,1185512666474.3389
10,3,128,12.0,4000,1170971046429.5457
15,3,128,12.0,4000,1146427691367.7610
20,3,128,12.0,4000,1122405630888.6836
25,3,128,12.0,4000,1100278111930.4719
30,3,128,12.0,4000,1080080775530.4030
35,3,128,12.0,4000,1061595223898.2198
40,3,128,12.0,4000,1044578061786.3079
45,3,128,12.0,4000,1028814226440.8647
50,3,128,12.0,4000,1014123836800.6395
5,3,32,18.0,1000,1351260486035.8010
10,3,32,18.0,1000,1280484285898.9001
15,3,32,18.0,1000,1219780019320.6597
20,3,32,18.0,1000,1169303393723.0715
25,3,32,18.0,1000,1125972597048.4514
30,3,32,18.0,1000,1087775047544.5133
35,3,32,18.0,1000,1053432065193.4387
40,3,32,18.0,1000,1022094273911.0009
45,3,32,18.0,1000,993172101071.4120
50,3,32,18.0,1000,966239604878.8138
5,5,32,18.0,1000,1351576396059.6201
10,5,32,18.0,1000,1286856590319.3379
15,5,32,18.0,1000,1236711497206.5298
20,5,32,18.0,1000,1198073333103.9346
25,5,32,18.0,1000,1166686012673.5415
30,5,32,18.0,1000,1140151913810.0708
35,5,32,18.0,1000,1117073621532.0852
40,5,32,18.0,1000,1096579297030.6321
45,5,32,18.0,1000,1078091507960.9310
50,5,32,18.0,1000,1061208794407.4696
5,3,128,18.0,1000,1262113593883.7651
10,3,128,18.0,1000,1334911554653.7642
15,3,128,18.0,1000,1340622568561.1965
20,3,128,18.0,1000,1330671460418.6160
25,3,128,18.0,1000,1315994795967.1248
30,3,128,18.0,1000,1299977586878.5496
35,3,128,18.0,1000,1283855366132.1736
40,3,128,18.0,1000,1268108276125.8184
45,3,128,18.0,1000,1252917417183.4424
50,3,128,18.0,1000,1238335879253.5471
5,3,32,18.0,2000,1547121123518.2395
10,3,32,18.0,2000,1447876253742.6663
15,3,32,18.0,2000,1371714784605.4456
20,3,32,18.0,2000,1310448882178.3640
25,3,32,18.0,2000,1258740729592.4026
30,3,32,18.0,2000,1213645792190.0112
35,3,32,18.0,2000,1173410491586.1814
40,3,32,18.0,2000,1136910184265.3145
45,3,32,18.0,2000,1103381354708.3760
50,3,32,18.0,2000,1072280914514.3625
5,5,32,18.0,2000,1547791235127.3933
10,5,32,18.0,2000,1456314669689.9016
15,5,32,18.0,2000,1392795837389.1506
20,5,32,18.0,2000,1345374354368.7407
25,5,32,18.0,2000,1307461372891.3201
30,5,32,18.0,2000,1275730507287.3513
35,5,32,18.0,2000,1248327262061.1621
40,5,32,18.0,2000,1224122912648.3328
45,5,32,18.0,2000,1202381842559.9377
50,5,32,18.0,2000,1182598470369.6746
5,3,128,18.0,2000,1530436317156.6360
10,3,128,18.0,2000,1561805547870.1926
15,3,128,18.0,2000,1547283956740.5579
20,3,128,18.0,2000,1524465244828.7681
25,3,128,18.0,2000,1500455011561.6304
30,3,128,18.0,2000,1477133854604.0000
35,3,128,18.0,2000,1455011548812.4060
40,3,128,18.0,2000,1434167978193.3428
45,3,128,18.0,2000,1414542127842.6362
50,3,128,18.0,2000,1396030001082.7207
5,3,32,18.0,4000,1668007118853.7395
10,3,32,18.0,4000,1549131778595.2571
15,3,32,18.0,4000,1462818500875.7710
20,3,32,18.0,4000,1394620534100.3794
25,3,32,18.0,4000,1337601839905.9160
30,3,32,18.0,4000,1288175742235.9910
35,3,32,18.0,4000,1244267080875.7585
40,3,32,18.0,4000,1204567087479.6365
45,3,32,18.0,4000,1168196967080.0742
50,3,32,18.0,4000,1134536561128.3027
5,5,32,18.0,4000,1668934882795.8032
10,5,32,18.0,4000,1558959470882.0310
15,5,32,18.0,4000,1486607598087.6233
20,5,32,18.0,4000,1433497350639.1282
25,5,32,18.0,4000,1391406746277.5159
30,5,32,18.0,4000,1356375685084.7773
35,5,32,18.0,4000,1326242520122.5781
40,5,32,18.0,4000,1299707696777.5044
45,5,32,18.0,4000,1275931219897.2532
50,5,32,18.0,4000,1254339221305.4858
5,3,128,18.0,4000,1712470107540.2024
10,3,128,18.0,4000,1706862682377.1714
15,3,128,18.0,4000,1676503204439.9897
20,3,128,18.0,4000,1644192096317.0793
25,3,128,18.0,4000,1613538130235.5437
30,3,128,18.0,4000,1585142620812.8188
35,3,128,18.0,4000,1558924986749.2141
40,3,128,18.0,4000,1534649727810.4917
45,3,128,18.0,4000,1512069631804.6975
50,3,128,18.0,4000,1490962233971.0430
5,3,32,24.0,1000,1691596585309.2024
10,3,32,24.0,1000,1613947724338.3550
15,3,32,24.0,1000,1541828317146.7236
20,3,32,24.0,1000,1480587060396.7344
25,3,32,24.0,1000,1427475484108.1130
30,3,32,24.0,1000,1380361974812.4575
35,3,32,24.0,1000,1337818961517.7810
40,3,32,24.0,1000,1298872980236.6257
45,3,32,24.0,1000,1262837574708.9126
50,3,32,24.0,1000,1229211457062.0745
5,5,32,24.0,1000,1691802477883.0273
10,5,32,24.0,1000,1621238542989.5000
15,5,32,24.0,1000,1562036382546.5789
20,5,32,24.0,1000,1515480320939.5911
25,5,32,24.0,1000,1477287011787.2727
30,5,32,24.0,1000,1444804425422.8118
35,5,32,24.0,1000,1416434479026.2686
40,5,32,24.0,1000,1391162535809.2483
45,5,32,24.0,1000,1368309147824.1243
50,5,32,24.0,1000,1347398287944.3953
5,3,128,24.0,1000,1530446579653.7378
10,3,128,24.0,1000,1650806611235.0256
15,3,128,24.0,1000,1670565795315.1057
20,3,128,24.0,1000,1665056269416.1350
25,3,128,24.0,1000,1651074219900.5007
30,3,128,24.0,1000,1634048631904.2917
35,3,128,24.0,1000,1616077502848.7336
40,3,128,24.0,1000,1598051226367.0193
45,3,128,24.0,1000,1580362704212.1433
50,3,128,24.0,1000,1563180718790.8594
5,3,32,24.0,2000,1991202630135.4600
10,3,32,24.0,2000,1871728931610.5652
15,3,32,24.0,2000,1776514394130.6338
20,3,32,24.0,2000,1699040528462.3572
25,3,32,24.0,2000,1633272405301.4431
30,3,32,24.0,2000,1575707274818.8577
35,3,32,24.0,2000,1524214889658.0588
40,3,32,24.0,2000,1477412939811.6875
45,3,32,24.0,2000,1434355906515.5049
50,3,32,24.0,2000,1394367658814.0530
5,5,32,24.0,2000,1991918752554.5881
10,5,32,24.0,2000,1882085212228.9946
15,5,32,24.0,2000,1802938089261.1357
20,5,32,24.0,2000,1743200752914.2275
25,5,32,24.0,2000,1695178559179.1177
30,5,32,24.0,2000,1654848955781.3357
35,5,32,24.0,2000,1619935955123.3220
40,5,32,24.0,2000,1589042654046.5374
45,5,32,24.0,2000,1561253641540.7449
50,5,32,24.0,2000,1535937280388.1250
5,3,128,24.0,2000,1926565761293.4917
10,3,128,24.0,2000,1993701123958.9866
15,3,128,24.0,2000,1985372844804.3054
20,3,128,24.0,2000,1961468082785.2712
25,3,128,24.0,2000,1933934240716.1550
30,3,128,24.0,2000,1906201568139.5999
35,3,128,24.0,2000,1879377180413.1628
40,3,128,24.0,2000,1853795190168.0427
45,3,128,24.0,2000,1829507768990.9399
50,3,128,24.0,2000,1806460547386.9873
5,3,32,24.0,4000,2178746058641.7407
10,3,32,24.0,4000,2028599510112.6301
15,3,32,24.0,4000,1917556105948.6245
20,3,32,24.0,4000,1829295416141.2004
25,3,32,24.0,4000,1755275301936.8777
30,3,32,24.0,4000,1690986802671.0737
35,3,32,24.0,4000,1633796430805.4993
40,3,32,24.0,4000,1582034087301.3591
45,3,32,24.0,4000,1534574257971.6575
50,3,32,24.0,4000,1490620584756.7686
5,5,32,24.0,4000,2179865607924.2129
10,5,32,24.0,4000,2041128512516.5876
15,5,32,24.0,4000,1948203769569.2549
20,5,32,24.0,4000,1879607616105.0227
25,5,32,24.0,4000,1825087183082.9839
30,5,32,24.0,4000,1779628397277.5107
35,5,32,24.0,4000,1740475214796.6277
40,5,32,24.0,4000,1705963973669.7104
45,5,32,24.0,4000,1675016390117.0879
50,5,32,24.0,4000,1646894337580.5088
5,3,128,24.0,4000,2207289976464.0703
10,3,128,24.0,4000,2218848209957.0342
15,3,128,24.0,4000,2185997672798.7429
20,3,128,24.0,4000,2147280187397.1233
25,3,128,24.0,4000,2109355321218.1345
30,3,128,24.0,4000,2073683138739.1880
35,3,128,24.0,4000,2040453137795.7480
40,3,128,24.0,4000,2009506706995.5078
45,3,128,24.0,4000,1980604271486.9910
50,3,128,24.0,4000,1953505527996.6548
5,3,32,36.0,1000,2238312060370.4658
10,3,32,36.0,1000,2161026830732.0662
15,3,32,36.0,1000,2075371991381.6943
20,3,32,36.0,1000,1999578107453.8894
25,3,32,36.0,1000,1932539792904.5264
30,3,32,36.0,1000,1872352043150.5869
35,3,32,36.0,1000,1817545749168.1763
40,3,32,36.0,1000,1767055703956.1934
45,3,32,36.0,1000,1720104263416.9006
50,3,32,36.0,1000,1676110510595.2043
5,5,32,36.0,1000,2238166341430.0688
10,5,32,36.0,1000,2169021488132.5664
15,5,32,36.0,1000,2099588153585.8091
20,5,32,36.0,1000,2042733333948.2307
25,5,32,36.0,1000,1995193901321.1497
30,5,32,36.0,1000,1954291869578.0356
35,5,32,36.0,1000,1918281283520.6174
40,5,32,36.0,1000,1886010361692.4280
45,5,32,36.0,1000,1856689752081.7776
50,5,32,36.0,1000,1829757637824.8960
5,3,128,36.0,1000,1926832767451.3499
10,3,128,36.0,1000,2141714463002.3438
15,3,128,36.0,1000,2194055036026.1467
20,3,128,36.0,1000,2201865686601.7852
25,3,128,36.0,1000,2193217366361.0854
30,3,128,36.0,1000,2177654118295.7559
35,3,128,36.0,1000,2159078896801.2205
40,3,128,36.0,1000,2139274742037.8289
45,3,128,36.0,1000,2119115171162.3650
50,3,128,36.0,1000,2099044479565.7014
5,3,32,36.0,2000,2756371209893.4478
10,3,32,36.0,2000,2612204338970.8081
15,3,32,36.0,2000,2488117089842.2329
20,3,32,36.0,2000,2384869738548.8188
25,3,32,36.0,2000,2296225429729.4941
30,3,32,36.0,2000,2218083178285.1104
35,3,32,36.0,2000,2147831576712.2043
40,3,32,36.0,2000,2083734034798.0444
45,3,32,36.0,2000,2024584344951.8586
50,3,32,36.0,2000,1969510691682.7397
5,5,32,36.0,2000,2757001981970.8506
10,5,32,36.0,2000,2625208448515.6177
15,5,32,36.0,2000,2522729294270.7749
20,5,32,36.0,2000,2443710734311.3940
25,5,32,36.0,2000,2379506073932.1182
30,5,32,36.0,2000,2325224757445.9443
35,5,32,36.0,2000,2278012399777.9009
40,5,32,36.0,2000,2236086910159.9121
45,5,32,36.0,2000,2198267486344.3975
50,5,32,36.0,2000,2163732948918.2310
5,3,128,36.0,2000,2568873006831.4258
10,3,128,36.0,2000,2720949541016.2490
15,3,128,36.0,2000,2733837900160.7690
20,3,128,36.0,2000,2714063744089.5620
25,3,128,36.0,2000,2684361106109.0215
30,3,128,36.0,2000,2651787076672.5005
35,3,128,36.0,2000,2618927445426.3848
40,3,128,36.0,2000,2586793429204.5024
45,3,128,36.0,2000,2555771259671.2412
50,3,128,36.0,2000,2525978700270.2285
5,3,32,36.0,4000,3129240315820.1704
10,3,32,36.0,4000,2928223647555.4521
15,3,32,36.0,4000,2773867810835.4404
20,3,32,36.0,4000,2649700137811.2476
25,3,32,36.0,4000,2544912783356.4595
30,3,32,36.0,4000,2453537675674.6138
35,3,32,36.0,4000,2372019229292.9238
40,3,32,36.0,4000,2298076657623.2051
45,3,32,36.0,4000,2230161373054.5874
50,3,32,36.0,4000,2167171791112.4006
5,5,32,36.0,4000,3130593962994.7280
10,5,32,36.0,4000,2945320562931.6841
15,5,32,36.0,4000,2816590449705.1851
20,5,32,36.0,4000,2720479356945.2119
25,5,32,36.0,4000,2643642609470.8228
30,5,32,36.0,4000,2579338809336.5029
35,5,32,36.0,4000,2523808704485.1108
40,5,32,36.0,4000,2474764020074.6211
45,5,32,36.0,4000,2430713356707.9009
50,5,32,36.0,4000,2390631664682.9561
5,3,128,36.0,4000,3093469119040.4868
10,3,128,36.0,4000,3158326844752.7563
15,3,128,36.0,4000,3129308335132.6318
20,3,128,36.0,4000,3083237734483.4873
25,3,128,36.0,4000,3034662323428.4888
30,3,128,36.0,4000,2987442797983.7300
35,3,128,36.0,4000,2942632634308.3154
40,3,128,36.0,4000,2900403251743.9297
45,3,128,36.0,4000,2860635863209.9980
50,3,128,36.0,4000,2823122357489.4902
5,3,32,48.0,1000,2652107532286.7017
10,3,32,48.0,1000,2583849096278.6538
15,3,32,48.0,1000,2491612675796.7520
20,3,32,48.0,1000,2406873186571.9575
25,3,32,48.0,1000,2330629886338.4302
30,3,32,48.0,1000,2261473186488.4292
35,3,32,48.0,1000,2198054995827.0081
40,3,32,48.0,1000,2139323222780.9036
45,3,32,48.0,1000,2084480396064.2058
50,3,32,48.0,1000,2032916777063.5476
5,5,32,48.0,1000,2651559996691.6978
10,5,32,48.0,1000,2591776973621.2246
15,5,32,48.0,1000,2517897116565.2983
20,5,32,48.0,1000,2455082245281.9126
25,5,32,48.0,1000,2401664554105.1689
30,5,32,48.0,1000,2355241597769.1880
35,5,32,48.0,1000,2314089563148.3848
40,5,32,48.0,1000,2277023492721.4351
45,5,32,48.0,1000,2243212040990.4326
50,5,32,48.0,1000,2212054326661.2144
5,3,128,48.0,1000,2202181792593.3516
10,3,128,48.0,1000,2500717816099.1543
15,3,128,48.0,1000,2585126378272.4604
20,3,128,48.0,1000,2607733326692.1191
25,3,128,48.0,1000,2606373341942.3672
30,3,128,48.0,1000,2594302278461.2412
35,3,128,48.0,1000,2577102138732.9468
40,3,128,48.0,1000,2557409503319.9756
45,3,128,48.0,1000,2536569885285.8721
50,3,128,48.0,1000,2515305766282.3569
5,3,32,48.0,2000,3441159735221.1157
10,3,32,48.0,2000,3285253024973.3188
15,3,32,48.0,2000,3139316365632.7197
20,3,32,48.0,2000,3015145278396.4458
25,3,32,48.0,2000,2907352984170.7368
30,3,32,48.0,2000,2811676529721.9385
35,3,32,48.0,2000,2725245294394.3838
40,3,32,48.0,2000,2646096669555.6250
45,3,32,48.0,2000,2572844547786.2388
50,3,32,48.0,2000,2504475667406.2480
5,5,32,48.0,2000,3441544489103.5664
10,5,32,48.0,2000,3299952800376.5361
15,5,32,48.0,2000,3180226182236.9180
20,5,32,48.0,2000,3085891971411.3755
25,5,32,48.0,2000,3008430578825.7290
30,5,32,48.0,2000,2942513584799.5688
35,5,32,48.0,2000,2884919416387.8540
40,5,32,48.0,2000,2833599166894.3657
45,5,32,48.0,2000,2787179333309.9648
50,5,32,48.0,2000,2744696918208.0156
5,3,128,48.0,2000,3104944623320.5176
10,3,128,48.0,2000,3354642616762.3789
15,3,128,48.0,2000,3397028975718.3184
20,3,128,48.0,2000,3387061310109.3320
25,3,128,48.0,2000,3359418602437.7446
30,3,128,48.0,2000,3325345713550.8120
35,3,128,48.0,2000,3289204968727.9463
40,3,128,48.0,2000,3252857851240.1035
45,3,128,48.0,2000,3217132757709.8247
50,3,128,48.0,2000,3182391137994.0435
5,3,32,48.0,4000,4002244958513.5991
10,3,32,48.0,4000,3762503362515.1860
15,3,32,48.0,4000,3571267794029.0229
20,3,32,48.0,4000,3415621194200.7134
25,3,32,48.0,4000,3283473123302.0215
30,3,32,48.0,4000,3167797070859.1323
35,3,32,48.0,4000,3064317560424.4932
40,3,32,48.0,4000,2970259462346.9902
45,3,32,48.0,4000,2883724206984.2725
50,3,32,48.0,4000,2803353973139.1699
5,5,32,48.0,4000,4003677550889.5410
10,5,32,48.0,4000,3783294443326.3047
15,5,32,48.0,4000,3624342358893.7241
20,5,32,48.0,4000,3504339865332.6396
25,5,32,48.0,4000,3407858434210.9995
30,5,32,48.0,4000,3326825466976.4077
35,5,32,48.0,4000,3256671792103.5776
40,5,32,48.0,4000,3194592482708.5649
45,5,32,48.0,4000,3138749186401.1665
50,5,32,48.0,4000,3087873312672.2876
5,3,128,48.0,4000,3870412544360.8794
10,3,128,48.0,4000,4006524634201.3105
15,3,128,48.0,4000,3990253622014.8130
20,3,128,48.0,4000,3942458004068.2402
25,3,128,48.0,4000,3887273968996.3882
30,3,128,48.0,4000,3831640944321.3853
35,3,128,48.0,4000,3777804391099.2461
40,3,128,48.0,4000,3726446313230.1221
45,3,128,48.0,4000,3677677523546.4844
50,3,128,48.0,4000,3631392384597.2031
5,3,32,54.0,1000,2839590945086.7334
10,3,32,54.0,1000,2777967551772.5776
15,3,32,54.0,1000,2683855278691.2974
20,3,32,54.0,1000,2595701684018.1470
25,3,32,54.0,1000,2515708027592.4790
30,3,32,54.0,1000,2442784292793.1274
35,3,32,54.0,1000,2375682507639.1069
40,3,32,54.0,1000,2313381261921.3232
45,3,32,54.0,1000,2255088947209.2207
50,3,32,54.0,1000,2200192315227.2393
5,5,32,54.0,1000,2838822882772.3950
10,5,32,54.0,1000,2785686720548.9746
15,5,32,54.0,1000,2710782681570.3457
20,5,32,54.0,1000,2645828886185.3193
